sentence	sentiment	lang_of_words
Waiting for non telugu movies Already 2 week 's over	neutral	['en', 'en', 'en', 'te', 'en', 'en', 'univ', 'univ', 'univ', 'en']
@SVishnuReddy Orey vishnu bathai ..... Rourkhela , Bhilai , durgapur , salem , bokoro , ,vizag , steel plants nee * * * * * * mogudu pettada raa ..... today these plants supplying oxygen . Railways also helping them . Bathai nayala .... neeku cheppu debba kotti manchi pani chesadu	positive	['univ', 'te', 'te', 'te', 'univ', 'te', 'univ', 'te', 'univ', 'ne', 'univ', 'te', 'univ', 'en', 'univ', 'univ', 'univ', 'en', 'en', 'te', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'te', 'te', 'te', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'univ', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
@PokiriFreak @alluarjun Sarkari jaari paata gurinchi ha nuvu matladedhi evaru telidu mabuu gadhu ha movie chestunadu ani	negative	['univ', 'univ', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'te']
@cheeks4042 Jimmy valla owner paapa antey naakishtam kaani aa ammayi ki rocky valla owner antey istam . So ala okasari pakka veedhi maxy valla owner tho ee paapa gurinchi aara teesthuntey telsindi lekapothey andari vishayaalu telusukodaniki naakem avasaram ?	positive	['univ', 'en', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'ne', 'en', 'te', 'en', 'te', 'te', 'univ', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ']
Just 20 mins back movie chusa what producer said tensions nundi relax avadaniki chudandi peaks comedy lo movie lo prathi oka main character tho comedy cheyinchadu	positive	['en', 'univ', 'en', 'en', 'en', 'te', 'en', 'en', 'en', 'en', 'te', 'en', 'te', 'te', 'en', 'en', 'te', 'en', 'te', 'te', 'te', 'en', 'en', 'te', 'en', 'te']
Will be posting review tomorrow	neutral	['en', 'en', 'en', 'en', 'en']
Bokkem kadhu worst movie time waste	negative	['te', 'te', 'en', 'en', 'en', 'te']
Thyview please make a video on Ram Charan	neutral	['en', 'en', 'en', 'en', 'en', 'en', 'ne', 'ne']
@Alluavinash72 @TarakDevotee @OrmaxMedia Nvu peddha konda erripuk gaadila unnav le 😂 😂 😂 🤣 🙏🏻 🗣 ️ 💦 minimum sense lekunda matladatannav .. NTR ki BE unte meevadi meeda ottu ra 👍🏻 proofs tho saha pettina erripuk argument lu avasarama neelantollatho 💦 🙏🏻 fake gurinchi Skn modda gallu morugutunnaru siggulekunda vere heroes meeda	negative	['univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'ne', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'en', 'en', 'te', 'te', 'univ', 'ne', 'ne', 'univ', 'te', 'te', 'te', 'te', 'te', 'univ', 'en', 'te', 'en', 'te', 'univ', 'en', 'te', 'te', 'te', 'univ', 'univ', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'te']
@actor_nithiin @SreshthMovies @tamannaahspeaks @NabhaNatesh @MerlapakaG @mahathi_sagar Mee trailer chaala bhagundhi .సుధీర్ ఒక హీరో . హాస్యనటుడు కాదు . కానీ పరిస్థితులు అలా మారాయి . POWERFUL STAR సుధీర్ యొక్క పెద్ద అభిమాని .. dayachesi edina avakasham maa hero ki ippichandi sir . jkk	positive	['univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'te', 'en', 'te', 'te', 'univ', 'en', 'en', 'univ', 'univ', 'univ', 'univ', 'univ', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'te', 'te', 'te', 'te', 'en', 'ne', 'te', 'en', 'univ', 'univ']
@ChanduC53895945 @BiryaniCake @TrendsRamCharan @AlwaysRamCharan Edhey Mata vadu Offline lo ante Cheddy chirigela denguthar vadnii Edho pilla puk gaadu Ila online lo 2 trolls esthe vadu pekedhi em vundadhu Chillar lk 💦 Lite le bro OFFLINE reality telisindhe gaa Kukkal Kuda dhekav Vadi Hero ni 💯 👍	negative	['univ', 'univ', 'univ', 'univ', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'te', 'ne', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'univ', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'univ', 'en', 'ne', 'en', 'univ', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'univ', 'univ']
@UrstrulyAnvith @wbpictures Haha manchii pani Dani malli repeats lo evadu chustadu 😞	positive	['univ', 'univ', 'en', 'te', 'ne', 'te', 'te', 'en', 'te', 'te', 'te', 'univ']
G-zombie movie review chy anna alavundo	neutral	['ne', 'ne', 'en', 'en', 'te', 'te']
Hint ichav ga chachina mute nundi tiyyaru 🤭 🤭 🤭 🤭 🤭 🤭 🤭	positive	['en', 'te', 'te', 'te', 'en', 'te', 'te', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ']
Firstly I thought that video is in 1.50 50X but later I realised that video is like that 😂 😂 Y so hurry 🏃 bro 😂 😂	neutral	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ', 'en', 'en', 'en', 'univ', 'en', 'univ', 'univ']
@ravibabujuji @RGVzoomin Chethaga cheppindhanimidha reply avasaramara neeku	negative	['univ', 'univ', 'te', 'te', 'en', 'te', 'te']
Review wrong cinema chusa bro super gaa undi excellent Rana acting	negative	['en', 'en', 'en', 'te', 'en', 'en', 'te', 'te', 'en', 'te', 'en']
@TheAdamya @ThatipamulaL Appudu case lu takkuva , vere hospitals lo treatment allowed kadu , andaru akkade annaru . Ippudu anni hospitals lo chestunnaru kada . Siggu lekunda endi ra meeru .	negative	['univ', 'univ', 'te', 'en', 'te', 'te', 'univ', 'te', 'en', 'te', 'en', 'en', 'te', 'univ', 'te', 'te', 'te', 'univ', 'te', 'te', 'en', 'te', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'univ']
@THYVIEW Chari bro I know it is you but me Voice tho videos weekly release avuthayi kani sainath bro vi only movies release ayinappude vasthayi sorry Chari bro iam fan of your voice also	positive	['univ', 'te', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'te', 'en', 'en', 'en', 'te', 'te', 'te', 'en', 'en', 'en', 'en', 'en', 'te', 'te', 'en', 'te', 'en', 'ne', 'en', 'en', 'en', 'en', 'en']
Movie is good your reviews are not good .	negative	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ']
Really . good comeback for suriya	positive	['en', 'univ', 'en', 'en', 'en', 'univ']
Endhuku anna baggunna movie kee e lanti review estav	negative	['te', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'te']
@RluYbmRHl79e9u6 @JaganPawanFC Rey boku nayala govt ye dochukondi ani permission ichindhi kakunda inka dhanni siggulekunda cover cheyyadam entra paytm lucha	negative	['univ', 'univ', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te']
Waste review bro . asalu nduku pedutunnav eh reviewes nee laanti vaala valley movies ki bad talk vastundi . ado nve oka director la feel ipotunnav . minimum common sense vundali antha kastabadi movie teesthey elanti cheta reviews estunnav , okasari followers and subscriber andharu unsuscribe chesthey telustundi . waste review 👎	negative	['en', 'en', 'en', 'univ', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'ne', 'en', 'en', 'te', 'univ', 'te', 'en', 'en', 'en', 'te', 'en', 'te', 'univ', 'en', 'en', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'en', 'te', 'univ', 'te', 'en', 'en', 'en', 'te', 'en', 'te', 'te', 'univ', 'en', 'en', 'univ']
Do a video on video games	neutral	['en', 'en', 'en', 'en', 'en', 'en']
1 day 3 movie chusi review ela possible bro	positive	['univ', 'en', 'univ', 'en', 'te', 'en', 'te', 'en', 'en']
@nenenani_ Nenu anthe anukunna . But ramraj chala bagund 🥰 😂	positive	['univ', 'te', 'te', 'te', 'univ', 'en', 'te', 'te', 'en', 'univ', 'univ']
Heroes mass entry part 2 please ☺	neutral	['en', 'en', 'en', 'en', 'univ', 'en', 'univ']
@tinkuprem18 @tarak9999 @RRRMovie Wow super edit bro chala bagund 👌 👌	positive	['univ', 'univ', 'univ', 'en', 'en', 'en', 'en', 'te', 'en', 'univ', 'univ']
That 's a really genuine review . thanks , keep it up @THYVIEW	positive	['en', 'univ', 'en', 'en', 'en', 'en', 'univ', 'en', 'univ', 'en', 'en', 'en', 'univ']
Feb 26 the case annapudu kinda feb 5 zombie reddy G-zombie ani vachindi Bhaiya 3	neutral	['en', 'univ', 'en', 'en', 'te', 'te', 'en', 'univ', 'univ', 'ne', 'ne', 'ne', 'ne', 'ne', 'univ']
Anna RED movie super anna	positive	['te', 'univ', 'en', 'en', 'te']
But Nani Gari fans emotionally connect ayyaru . for that song	neutral	['en', 'te', 'te', 'en', 'en', 'en', 'te', 'univ', 'en', 'en', 'en']
@Nagaraju1905 @phani93_t @naralokesh @ysjagan Uchaa postey Current koti potav ra pilli pithirey ... Ayena cycle already shed ki velinde veli loki babu sanka nakandi 😂 😂	negative	['univ', 'univ', 'univ', 'univ', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'en', 'en', 'en', 'ne', 'te', 'te', 'en', 'ne', 'te', 'te', 'univ', 'univ']
Bro . meru oka live video cheyandi bro	neutral	['en', 'univ', 'te', 'te', 'en', 'en', 'te', 'en']
Sorry bro . I agree , Ee video Konchem English ekkuva ayyindi . Next video nundi will be more conscious	negative	['en', 'en', 'univ', 'en', 'en', 'univ', 'te', 'en', 'te', 'te', 'te', 'te', 'univ', 'en', 'en', 'te', 'en', 'en', 'en', 'en']
@Sen T pani pata em ledu a neku em chaduvukunnavu nuvvu	negative	['univ', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te']
Like who are watching in corona holidays	positive	['en', 'en', 'en', 'en', 'en', 'en', 'en']
2	negative	['univ', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'ne', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
@Shannu51241730 @DheerajKTweets @tarak4ever_9999 Ippudu nuvu ichav ga naku ayithe nuvu dengeyi ra pilla hooka	positive	['univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
Nuvvu nuvvu Snyder cut review aa broo	neutral	['te', 'te', 'en', 'en', 'en', 'te', 'te']
Normal ga cheppura ayya , nuvvu nee over acting	negative	['en', 'te', 'te', 'te', 'univ', 'te', 'te', 'en', 'en']
oka pakka politics vala cinema shows cancel chestuntey .. United gaa undalsina fans chillar galu laga ma meda padi edustuntey inka ela ra ... Repu me hero ki kuda ilanti parstiti ostey apudu evadu nilabadaru ra #VakeelSaab #VakeelSaabManiaAllOver	negative	['te', 'te', 'en', 'te', 'en', 'en', 'en', 'te', 'univ', 'en', 'te', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'en', 'en', 'ne', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ']
@IsPoornimadevi Good ofternoon darling I love you 💞	positive	['univ', 'ne', 'en', 'en', 'en', 'en', 'en', 'univ']
@maheshdhfm3333 Gorre gadivi kabatte naku rply ichavv , Ayithe nuvvu comment matrame cheyyale ga , reverse lo attack kadha , appudu gorreve avthav ra gorre	positive	['univ', 'te', 'te', 'te', 'te', 'en', 'te', 'univ', 'te', 'te', 'en', 'en', 'te', 'te', 'univ', 'en', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'te']
@THYVIEW kani anna ne review chusina tarvata nenu aa cinema ayana chusta prathi . review is prefect . nuvu chepina cinema almost ani naku nachindi . tqu for al movues ❤ ️ ❤ ️ ❤ ️	positive	['univ', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'univ', 'en', 'en', 'en', 'univ', 'te', 'te', 'en', 'en', 'te', 'te', 'te', 'univ', 'te', 'en', 'en', 'en', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ']
Stop using too many elevations word	negative	['en', 'en', 'en', 'en', 'en', 'en']
@alwayscharan4u 🙏 🙏 🙏 Thanks a ton guru sir ... asal ela gurtundi naa bday ... last year kooda naa bday roju sudden gaa entry icchav 😀	positive	['univ', 'univ', 'univ', 'univ', 'en', 'en', 'en', 'te', 'en', 'univ', 'te', 'te', 'te', 'te', 'en', 'univ', 'en', 'en', 'te', 'te', 'en', 'te', 'en', 'te', 'en', 'te', 'univ']
@CharanRockzz22 @madhu__Virat Alanti Manchi pani chesi enni rojulu aindhoo 😂 😂	positive	['univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ']
Bro , do a video on akira kurosawa .	neutral	['en', 'univ', 'en', 'en', 'en', 'en', 'te', 'te', 'univ']
1st see movie After see review . Matram Keka . 👌🏻 👌🏻 Thyview wasting Tym malli 🤦🏻	neutral	['univ', 'en', 'en', 'en', 'en', 'en', 'univ', 'ne', 'te', 'univ', 'univ', 'univ', 'en', 'en', 'en', 'te', 'univ']
Arey howle ikkada vaadu raviteja di thittatledu srinu vaitla ni troll chesthunnadu . AA lo laaga neeku edo disease unnattundi neeku nuvvu edo oohinchukuntunnav 😂	negative	['te', 'en', 'te', 'te', 'ne', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'univ']
G zombie movie review pettandi bro	neutral	['en', 'en', 'en', 'en', 'te', 'en']
@okeokadu_ @anythingforMB_ avpl industry hit ayindhi ani pakkana unna na sln ni kukka dengudu dengindhi ani mabbu gadu adukunnademo ga trivikram ki	negative	['univ', 'univ', 'univ', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'ne']
@THYVIEW yeah i saw all And i will see in future too But the very excited expression of sai nath broo is very RARE 😁 😉	positive	['univ', 'en', 'en', 'en', 'ne', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ne', 'te', 'en', 'en', 'en', 'univ', 'univ', 'univ']
Procces of going to Oscars is huge	neutral	['en', 'en', 'en', 'en', 'en', 'en', 'en']
@vegevenkatvijay Vammooo endee comedy ! ! ! Veedi mushti mohankii nenu fake account tho velli reply ivvalanta ! ! ! 🤣 🤣	negative	['univ', 'te', 'te', 'en', 'univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'te', 'en', 'te', 'univ', 'univ', 'univ', 'univ', 'univ']
@Narendra4PK @Suryateja_23 @MeghUpdates conversion anedhi crime emi kaad kadara legal eh Indian law prakaram . okavela forcible chesthunnarani proof vunte legal ga case veskovacchu and moreover ah law prakaram mee Hindus kuda convert aina vaallani malli mee matham loki thecchukovacchu adhi chethha kaaka .. ( 1/2 )	negative	['univ', 'univ', 'univ', 'en', 'te', 'en', 'te', 'te', 'te', 'ne', 'te', 'en', 'en', 'te', 'univ', 'te', 'en', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'en', 'en', 'te', 'en', 'te', 'te', 'ne', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'univ', 'univ', 'univ', 'univ']
Waiting for master review bro	positive	['en', 'en', 'en', 'en', 'en']
@Sunil_Deodhar @ysjagan @CTRavi_BJP @KapilMishra_IND @SureshNakhua @SureshChavhanke @ShobhaBJP @somuveerraju @bandisanjay_bjp @ramkadam @PCMohanMP @sambitswaraj Ap govt central govt ki iche one rupee lo 0.4 paisa matrame return vastundi , ma taxes anni teskuni velli statues temples kattukuntu chillara rajakeyalu cheyadam maneyandri ra gaadida kodakallara	negative	['univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'en', 'en', 'en', 'en', 'ne', 'te', 'en', 'en', 'te', 'univ', 'te', 'en', 'en', 'te', 'univ', 'te', 'en', 'te', 'te', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
@lohithAlluarjun @MegaComedianss undi Poyi chusko pora kojja ABo , t2b vela past posts dig cheskoni chuskopo nekosam avi vetukalenu chillar na nibba ga	negative	['univ', 'univ', 'ne', 'te', 'te', 'te', 'te', 'te', 'univ', 'en', 'te', 'en', 'en', 'en', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'te']
Nibbi aa nibbi . Eappudoo 1960 - 1980 Ravalasina story . 2021 lo vachundi . Yevaranna KAPATADARI MOVIE chusilla . Chusi matladandi . Nthaa bagundoo . 100 % far better than UPPENA . And jus go and FCUK Movie even it is a good movie	negative	['te', 'te', 'te', 'univ', 'te', 'univ', 'univ', 'univ', 'te', 'en', 'univ', 'univ', 'te', 'te', 'univ', 'te', 'univ', 'univ', 'te', 'univ', 'te', 'te', 'univ', 'te', 'te', 'univ', 'univ', 'univ', 'en', 'en', 'en', 'univ', 'univ', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en']
Bro super undi . eppude chusanu . Really am happy to see this movie . 👌	positive	['en', 'en', 'te', 'univ', 'te', 'te', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ']
@PspktrendsRC @TrackTwood Dhasabdhalu gaa vasthunna acharam ... mega banisalu Babu ante poseskotam ... list lo ah rendu chudagane insecure gaa feel ayi edho reply icheyali ani ichaav choodu ... adhe ma MB fans pogaru 😎 One man against all Odds MB 🔥	positive	['univ', 'univ', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'ne', 'te', 'te', 'univ', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'ne', 'en', 'te', 'univ', 'en', 'en', 'en', 'en', 'en', 'ne', 'univ']
@sravya_98 Username lo 98 petti age adugutunaru bagndhi chala bagund	positive	['univ', 'en', 'te', 'univ', 'te', 'en', 'te', 'te', 'te', 'en']
Bro , kapatadhaari and chakra review kuda cheyyandi bro	neutral	['en', 'univ', 'te', 'en', 'univ', 'en', 'te', 'te', 'en']
@sukuchowdarypk @naresh__pspk Phone lu tiyakunda msglu rlynivvakunda hand ichavga dekhenge	positive	['univ', 'univ', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'en']
@NariCharaNation vichitram ga kadu cheta ga anipistayi ani @RSSRLife anna dm chsndu	negative	['univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'univ', 'te']
@RGVzoomin Ne sulla ra nee sulaa bocchu laga undhii mve .. assalu rndhu thisavo kuda thelusthunda neeku . Time waste ki kuda paniki rDhu aa cinema . Thu	negative	['univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'ne', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'en', 'en', 'ne', 'te', 'te', 'te', 'te', 'en', 'univ', 'en']
@ActorKartikeya Meeru Ela try chesina look kummav gaa ...	positive	['univ', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'univ']
arjun gari menalludu bayya . pogaru hero	neutral	['ne', 'te', 'te', 'te', 'univ', 'te', 'en']
We OTT Platform lo we movie dorikutundi	neutral	['en', 'en', 'en', 'te', 'en', 'en', 'te']
@srinivas rao baga hurt iynatunav . tapu ledhu ley hurt avadam lo .	negative	['univ', 'ne', 'te', 'en', 'te', 'univ', 'univ', 'te', 'te', 'en', 'te', 'te', 'univ']
@ahavideoIN @ActorKartikeya @Itslavanya @Koushik_psk Movie chaala bagndhi . I do n't know y this was a flop in theatres . @ActorKartikeya as Basthi Balraju gave his career best performance . @Koushik_psk hats off to u brother . Directing this kind of a subject as a debutant is something i never expected .	positive	['univ', 'univ', 'univ', 'univ', 'en', 'te', 'te', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ', 'en', 'ne', 'te', 'te', 'en', 'en', 'en', 'en', 'univ', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ']
Lady villain in this movie 🔥 🔥	positive	['en', 'en', 'en', 'en', 'en', 'univ', 'univ']
@nenumeemanu @Swathivedula3 @santoshyellapra @vkjourno @BJP4India @BJP4Andhra @YSRCParty @ysjagan @JaiTDP @ncbn @naralokesh @JanaSenaParty @PawanKalyan Konda erripuka ... case la rendu cbi dgra vunnai ga em peelrundi cbi and bjp patkokunda .... calm gaa vunada kojja pk gaduu ye yenda ki ah godugu patte chillar na kodjku vadike dikku leka bjp sanka nakaduu .... nv ni sollu dialogue mundu deposits techukondira floor ticket	negative	['univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'te', 'te', 'univ', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'univ', 'te', 'univ', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'ne', 'te', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'univ', 'te', 'te', 'te', 'en', 'te', 'en', 'ne', 'ne', 'ne']
@Alluprashanth9 @Bunny_Surya143 @alluarjun Em ledu bokka ... aa @MythriOfficial gaddu update ivvadu ... manakii April 7th evng voka poster pettesi 8th na glimpse release chesesthadu chaep fellow ....	negative	['univ', 'univ', 'univ', 'te', 'te', 'te', 'univ', 'te', 'univ', 'te', 'en', 'te', 'univ', 'te', 'en', 'univ', 'en', 'te', 'en', 'te', 'univ', 'te', 'en', 'en', 'te', 'en', 'en', 'univ']
Rivew matrame kadhu rating kuda ivvu bro	neutral	['en', 'en', 'te', 'en', 'te', 'te', 'en']
Try to add kannada movies review in ur channel	neutral	['en', 'en', 'en', 'te', 'en', 'en', 'en', 'ne', 'en']
make video on teddy movie plz	neutral	['en', 'en', 'en', 'ne', 'ne', 'en']
@Neehasmiles Gadidha mo . jalaga gaadu pedda pizza gadhuu development cheta kaka appulu chesi votes kosam freebies isthunnadu .. aina still elections time lo malli votes dabbulu ivvadam .. donga voters create cheyadam idhi vadi bogatham pizza gaddu kabatte Prasanth kishore ki crs ichi techukunnadu	negative	['univ', 'te', 'en', 'univ', 'te', 'te', 'te', 'en', 'te', 'en', 'en', 'te', 'te', 'te', 'en', 'te', 'en', 'te', 'univ', 'te', 'en', 'en', 'en', 'te', 'te', 'en', 'te', 'te', 'univ', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'en', 'ne', 'en', 'te', 'te']
Dengeyandra lawada lo polls meru ... Siggulekunda fake bots ese badulu padipoina teaser ni lepachu ga fans	negative	['ne', 'ne', 'te', 'en', 'te', 'univ', 'te', 'en', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'en']
bro frankly cheptunna iroju nuvu cheppina review assalu arthamkaledu bro atha intrest kuda ledu	neutral	['en', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'en', 'te', 'te']
Pilla LK inka siggu leknda lick chesthunaru 🍉 🍉 Meekantey paid lickers evaru untar ra thu 💦	negative	['ne', 'univ', 'te', 'te', 'te', 'en', 'te', 'univ', 'univ', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'univ']
@NageshAllu9 @chiruraviteja Nuvv Naku reply icchhav andukeyy Nenu ichanu 👍 vaadiki reply ivalo vaddo adi na istham and inka ekkuva yedusthunav gaa satisfy 👍	positive	['univ', 'univ', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'univ', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'univ']
Thaman rr valla cinema aade chance undedaa ? Seriously ? . Meeru super bro endukante ratsasan gurinchi video chesi andulo music dinchesadu anedhi kooda notice cheyalekapoyaru . Malli review okati . Inkosari dayachesi thaman music valla cinema adundedi anakandi . Raaboye copy musics ni encourage chesinattu avtadhi	negative	['ne', 'univ', 'te', 'en', 'te', 'en', 'te', 'univ', 'en', 'univ', 'univ', 'te', 'en', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'univ', 'te', 'en', 'te', 'univ', 'te', 'te', 'en', 'en', 'te', 'en', 'te', 'te', 'univ', 'te', 'en', 'en', 'te', 'en', 'te', 'te']
65 ” Samsung curved TV la choosa	neutral	['univ', 'univ', 'en', 'en', 'en', 'te', 'te']
@varusarath5 madam Me acting chala baghundhi	positive	['univ', 'te', 'en', 'en', 'te', 'te']
Chaala manchdu ❤ ️ I do n't know about movies but chaala chaala manchdu bayata ayithe	positive	['te', 'te', 'univ', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'te']
@shiva_429 @nanda1152 Nuv support ichaav ga #rr ki	positive	['univ', 'univ', 'te', 'en', 'te', 'te', 'univ', 'ne']
Tamil lo movie Sethupathi remake	neutral	['ne', 'te', 'en', 'te', 'en']
EE bokka gadu mana tho boothulu thittichhukuni aalla gang lo followers ni penchukodaaniki chaep tricks . Just block	negative	['univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'en', 'en', 'univ', 'en', 'en']
Make a vidéo on underrated movies and add pencil movie in that video	neutral	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']
Chi y you people are trying to use even such situations	negative	['te', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']
Series ekkada vachchindi . oka episode vachchindi ante	neutral	['en', 'te', 'te', 'univ', 'te', 'en', 'te', 'te']
1st view 1 st like 1 st comment 😍 Rey cinema super unndhi raa . Enduku ra ilanti review lu ichi negative talk spread chestaru . payment andaledha enti 😠	negative	['univ', 'en', 'univ', 'en', 'en', 'univ', 'en', 'en', 'univ', 'te', 'en', 'en', 'te', 'te', 'univ', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'en', 'en', 'te', 'univ', 'en', 'te', 'te', 'univ']
Trailer chudagane anipinchindhi muv hit ani 😀	positive	['en', 'te', 'te', 'te', 'en', 'te', 'univ']
@Surthani4TDP24 @umamaheshTdp @geethahappy mari votes guddalu vuda deesukoni kamma valla mida padi edichinaru kada edavandi vedavallara amaravathi ante coastal valla common interest ani kani vedavalu kula religion gajji tho votes vecharu sankaa nakandii vedavallara maku poadi undadu	negative	['univ', 'univ', 'univ', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
Vedu bagundhi ante chandalanga vuntundhi ani ardham	negative	['te', 'te', 'te', 'te', 'te', 'te', 'te']
